behavior_tag,standard,Material_category,material_name,condition,ultimate_tensile_strength,yield_strength,elongation_pct,brinell_hb,vickers_hv,youngs_modulus,shear_modulus,poisson_ratio,density_kg_m3,description,critical_strain_energy_density
Limited ductility,ANSI,Steel,Steel SAE 30301,Full-hard,1280000000,965000000,8,,,193000000000,743000000000,0.3,8030,stainless,617600000
Ductile,ANSI,Steel,Steel SAE 30302,annealed,621000000,255000000,55,155,,193000000000,743000000000,0.3,8030,stainless,29191250000
Limited ductility,ANSI,Steel,Steel SAE 30302,1/4-hard,862000000,517000000,12,,,193000000000,743000000000,0.3,8030,stainless,1389600000
Ductile,ANSI,Steel,Steel SAE 30302B,annealed,655000000,276000000,50,165,,193000000000,743000000000,0.3,8030,stainless,24125000000
Ductile,ANSI,Steel,Steel SAE 30303,annealed,621000000,241000000,50,160,,193000000000,743000000000,0.3,8030,stainless,24125000000
Ductile,ANSI,Steel,Steel SAE 30304,annealed,586000000,241000000,55,150,,193000000000,743000000000,0.3,8030,stainless,29191250000
Ductile,ANSI,Steel,Steel SAE 30304L,annealed,552000000,207000000,55,140,,193000000000,743000000000,0.3,8030,stainless,29191250000
Ductile,ANSI,Steel,Steel SAE 30305,annealed,586000000,255000000,55,156,,193000000000,743000000000,0.3,8030,stainless,29191250000
Ductile,ANSI,Steel,Steel SAE 30308,annealed,586000000,241000000,55,150,,193000000000,743000000000,0.3,8030,stainless,29191250000
Ductile,ANSI,Steel,Steel SAE 30309,annealed,621000000,276000000,45,165,,193000000000,743000000000,0.3,8030,stainless,19541250000
Ductile,ANSI,Steel,Steel SAE 30310,annealed,655000000,276000000,45,170,,193000000000,743000000000,0.3,8030,stainless,19541250000
Ductile,ANSI,Steel,Steel SAE 30314,annealed,689000000,345000000,45,170,,193000000000,743000000000,0.3,8030,stainless,19541250000
Ductile,ANSI,Steel,Steel SAE 30316,annealed,586000000,241000000,55,150,,193000000000,743000000000,0.3,8030,stainless,29191250000
Ductile,ANSI,Steel,Steel SAE 30316L,annealed,538000000,207000000,55,145,,193000000000,743000000000,0.3,8030,stainless,29191250000
Ductile,ANSI,Steel,Steel SAE 30317,annealed,621000000,276000000,50,160,,193000000000,743000000000,0.3,8030,stainless,24125000000
Ductile,ANSI,Steel,Steel SAE 30321,annealed,600000000,241000000,55,150,,193000000000,743000000000,0.3,8030,stainless,29191250000
Ductile,ANSI,Steel,Steel SAE 30347,annealed,634000000,241000000,50,160,,193000000000,743000000000,0.3,8030,stainless,24125000000
Ductile,ANSI,Steel,Steel SAE 30348,annealed,634000000,241000000,50,160,,193000000000,743000000000,0.3,8030,stainless,24125000000
Ductile,ANSI,Steel,Steel SAE 51403,annealed,517000000,276000000,30,155,,200000000000,769000000000,0.3,8030,stainless,9000000000
Ductile,ANSI,Steel,Steel SAE 51403,tempered at 400 F,1310000000,1000000000,15,390,,200000000000,769000000000,0.3,8030,stainless,2250000000
Ductile,ANSI,Steel,Steel SAE 51405,annealed,483000000,276000000,30,150,,200000000000,769000000000,0.3,8030,stainless,9000000000
Ductile,ANSI,Steel,Steel SAE 51410,annealed,517000000,276000000,30,155,,200000000000,769000000000,0.3,8030,stainless,9000000000
Ductile,ANSI,Steel,Steel SAE 51410,tempered at 400 F,1310000000,1000000000,15,390,,200000000000,769000000000,0.3,8030,stainless,2250000000
Ductile,ANSI,Steel,Steel SAE 51414,annealed,827000000,655000000,17,235,,200000000000,769000000000,0.3,8030,stainless,2890000000
Ductile,ANSI,Steel,Steel SAE 51414,tempered at 400 F,1380000000,1034000000,15,415,,200000000000,769000000000,0.3,8030,stainless,2250000000
Ductile,ANSI,Steel,Steel SAE 51416,annealed,517000000,276000000,30,155,,200000000000,769000000000,0.3,8030,stainless,9000000000
Ductile,ANSI,Steel,Steel SAE 51416,tempered at 400 F,1310000000,1000000000,15,390,,200000000000,769000000000,0.3,8030,stainless,2250000000
Ductile,ANSI,Steel,Steel SAE 51420,annealed,655000000,345000000,25,195,,200000000000,769000000000,0.3,8030,stainless,6250000000
Limited ductility,ANSI,Steel,Steel SAE 51420,tempered at 600 F,1590000000,1344000000,8,500,,200000000000,769000000000,0.3,8030,stainless,640000000
Ductile,ANSI,Steel,Steel SAE 51430,annealed,517000000,310000000,30,155,,200000000000,769000000000,0.3,8030,stainless,9000000000
Ductile,ANSI,Steel,Steel SAE 51430F,annealed,552000000,379000000,25,170,,200000000000,769000000000,0.3,8030,stainless,6250000000
Ductile,ANSI,Steel,Steel SAE 51431,annealed,862000000,655000000,20,260,,200000000000,769000000000,0.3,8030,stainless,4000000000
Ductile,ANSI,Steel,Steel SAE 51431,tempered at 400 F,1410000000,1069000000,15,415,,200000000000,769000000000,0.3,8030,stainless,2250000000
Ductile,ANSI,Steel,Steel SAE 51440A,annealed,724000000,414000000,20,215,,200000000000,769000000000,0.3,8030,stainless,4000000000
Limited ductility,ANSI,Steel,Steel SAE 51440A,tempered at 600 F,1790000000,1655000000,5,510,,200000000000,769000000000,0.3,8030,stainless,250000000
Limited ductility,ANSI,Steel,Steel SAE 51440C,annealed,758000000,448000000,13,230,,200000000000,769000000000,0.3,8030,stainless,1690000000
Brittle,ANSI,Steel,Steel SAE 51440C,tempered at 600 F,1970000000,1896000000,2,580,,200000000000,769000000000,0.3,8030,stainless,40000000
Ductile,ANSI,Steel,Steel SAE 51446,annealed,552000000,345000000,23,170,,200000000000,769000000000,0.3,8030,stainless,5290000000
Ductile,ANSI,Steel,Steel SAE 51501,annealed,483000000,207000000,28,160,,200000000000,769000000000,0.3,8030,stainless,7840000000
Ductile,ANSI,Steel,Steel SAE 51502,annealed,483000000,207000000,30,150,,200000000000,769000000000,0.3,8030,stainless,9000000000
Ductile,ANSI,Copper Alloy,Copper Alloy C80100,,172000000,62000000,40,,,108000000000,40000000000,0.35,8930,,8640000000
Limited ductility,ANSI,Copper Alloy,High-Copper Alloy C81300,,365000000,248000000,11,,,108000000000,40000000000,0.35,8930,,653400000
Ductile,ANSI,Copper Alloy,High-Copper Alloy C81500,,352000000,276000000,17,,,108000000000,40000000000,0.35,8930,,1560600000
Limited ductility,ANSI,Copper Alloy,High-Copper Alloy C81700,,634000000,469000000,8,,,108000000000,40000000000,0.35,8930,,345600000
Ductile,ANSI,Brass Alloy,Red brass C83300,,221000000,69000000,35,,,100000000000,37000000000,0.34,8500,,6125000000
Ductile,ANSI,Brass Alloy,Red brass C83400,,241000000,69000000,30,,,100000000000,37000000000,0.34,8500,,4500000000
Ductile,ANSI,Brass Alloy,Red brass C83600,,255000000,117000000,30,,,100000000000,37000000000,0.34,8500,,4500000000
